ID,Product Name,Description,Price,Supplier Name,Supplier Email,Category Name,Category Description,Image
139,Phone Mount - 92,High-quality Phone Mount for everyday use,https://picsum.photos/seed/auto938/400/300,134.8,Fashion World Wholesale,wholesale@fashionworld.com,Automotive,Car parts and accessories
13,Coffee Table - 69,High-quality Coffee Table for everyday use,https://picsum.photos/seed/furniture385/400/300,137.23,Fashion World Wholesale,wholesale@fashionworld.com,Furniture,Home and office furniture
95,Bookshelf - 38,High-quality Bookshelf for everyday use,https://picsum.photos/seed/furniture242/400/300,147.41,Fashion World Wholesale,wholesale@fashionworld.com,Furniture,Home and office furniture
110,Shorts - 40,High-quality Shorts for everyday use,https://picsum.photos/seed/clothing481/400/300,148.08,Fashion World Wholesale,wholesale@fashionworld.com,Clothing,Fashionable apparel for all ages
72,Perfume - 38,High-quality Perfume for everyday use,https://picsum.photos/seed/beauty125/400/300,164.74,Fashion World Wholesale,wholesale@fashionworld.com,Beauty & Personal Care,Cosmetics and personal grooming products
50,Plant Pot - 10,High-quality Plant Pot for everyday use,https://picsum.photos/seed/garden828/400/300,167.36,Fashion World Wholesale,wholesale@fashionworld.com,Garden & Outdoor,Gardening and outdoor living products
39,Remote Control Car - 7,High-quality Remote Control Car for everyday use,https://picsum.photos/seed/toys738/400/300,170.51,Fashion World Wholesale,wholesale@fashionworld.com,Toys & Games,Entertainment for children and adults
61,Laptop - 50,High-quality Laptop for everyday use,https://picsum.photos/seed/electronics52/400/300,175.39,Fashion World Wholesale,wholesale@fashionworld.com,Electronics,Cutting-edge technological devices
34,Hoodie - 91,High-quality Hoodie for everyday use,https://picsum.photos/seed/clothing802/400/300,179.07,Fashion World Wholesale,wholesale@fashionworld.com,Clothing,Fashionable apparel for all ages
64,Action Figure - 47,High-quality Action Figure for everyday use,https://picsum.photos/seed/toys65/400/300,188.92,Fashion World Wholesale,wholesale@fashionworld.com,Toys & Games,Entertainment for children and adults
53,Microwave - 85,High-quality Microwave for everyday use,https://picsum.photos/seed/kitchen240/400/300,208.42,Fashion World Wholesale,wholesale@fashionworld.com,Home & Kitchen,Essential items for home and cooking
90,Smartphone - 30,High-quality Smartphone for everyday use,https://picsum.photos/seed/electronics420/400/300,221.02,Fashion World Wholesale,wholesale@fashionworld.com,Electronics,Cutting-edge technological devices
200,Coffee Maker - 64,High-quality Coffee Maker for everyday use,https://picsum.photos/seed/kitchen500/400/300,222.18,Fashion World Wholesale,wholesale@fashionworld.com,Home & Kitchen,Essential items for home and cooking
130,Bicycle - 74,High-quality Bicycle for everyday use,https://picsum.photos/seed/sports130/400/300,223.03,Fashion World Wholesale,wholesale@fashionworld.com,Sporting Goods,Equipment for sports and outdoor activities
36,Sci-Fi Novel - 36,High-quality Sci-Fi Novel for everyday use,https://picsum.photos/seed/books433/400/300,241.17,Fashion World Wholesale,wholesale@fashionworld.com,Books,Literature and educational materials
22,Bluetooth Speaker - 26,High-quality Bluetooth Speaker for everyday use,https://picsum.photos/seed/electronics875/400/300,262.02,Fashion World Wholesale,wholesale@fashionworld.com,Electronics,Cutting-edge technological devices
79,Bicycle - 68,High-quality Bicycle for everyday use,https://picsum.photos/seed/sports266/400/300,278.43,Fashion World Wholesale,wholesale@fashionworld.com,Sporting Goods,Equipment for sports and outdoor activities
18,Makeup Kit - 86,High-quality Makeup Kit for everyday use,https://picsum.photos/seed/beauty948/400/300,279.93,Fashion World Wholesale,wholesale@fashionworld.com,Beauty & Personal Care,Cosmetics and personal grooming products
126,Patio Furniture - 84,High-quality Patio Furniture for everyday use,https://picsum.photos/seed/garden59/400/300,295.55,Fashion World Wholesale,wholesale@fashionworld.com,Garden & Outdoor,Gardening and outdoor living products
20,Desk Lamp - 33,High-quality Desk Lamp for everyday use,https://picsum.photos/seed/furniture955/400/300,309.03,Fashion World Wholesale,wholesale@fashionworld.com,Furniture,Home and office furniture
180,Plant Pot - 61,High-quality Plant Pot for everyday use,https://picsum.photos/seed/garden400/400/300,332.09,Fashion World Wholesale,wholesale@fashionworld.com,Garden & Outdoor,Gardening and outdoor living products
57,Self-Help Book - 1,High-quality Self-Help Book for everyday use,https://picsum.photos/seed/books398/400/300,362.85,Fashion World Wholesale,wholesale@fashionworld.com,Books,Literature and educational materials
88,Plant Pot - 37,High-quality Plant Pot for everyday use,https://picsum.photos/seed/garden261/400/300,398.33,Fashion World Wholesale,wholesale@fashionworld.com,Garden & Outdoor,Gardening and outdoor living products
202,Patio Furniture - 71,High-quality Patio Furniture for everyday use,https://picsum.photos/seed/garden96/400/300,402.47,Fashion World Wholesale,wholesale@fashionworld.com,Garden & Outdoor,Gardening and outdoor living products
149,Blender - 14,High-quality Blender for everyday use,https://picsum.photos/seed/kitchen847/400/300,410.7,Fashion World Wholesale,wholesale@fashionworld.com,Home & Kitchen,Essential items for home and cooking
134,Bookshelf - 11,High-quality Bookshelf for everyday use,https://picsum.photos/seed/furniture271/400/300,454.41,Fashion World Wholesale,wholesale@fashionworld.com,Furniture,Home and office furniture
98,Wireless Earbuds - 36,High-quality Wireless Earbuds for everyday use,https://picsum.photos/seed/electronics170/400/300,458.24,Fashion World Wholesale,wholesale@fashionworld.com,Electronics,Cutting-edge technological devices
63,Remote Control Car - 26,High-quality Remote Control Car for everyday use,https://picsum.photos/seed/toys396/400/300,458.84,Fashion World Wholesale,wholesale@fashionworld.com,Toys & Games,Entertainment for children and adults
204,Bluetooth Speaker - 99,High-quality Bluetooth Speaker for everyday use,https://picsum.photos/seed/electronics407/400/300,463.23,Fashion World Wholesale,wholesale@fashionworld.com,Electronics,Cutting-edge technological devices
206,Gardening Tools - 83,High-quality Gardening Tools for everyday use,https://picsum.photos/seed/garden171/400/300,463.94,Fashion World Wholesale,wholesale@fashionworld.com,Garden & Outdoor,Gardening and outdoor living products
196,Wireless Earbuds - 22,High-quality Wireless Earbuds for everyday use,https://picsum.photos/seed/electronics783/400/300,465.93,Fashion World Wholesale,wholesale@fashionworld.com,Electronics,Cutting-edge technological devices
128,Educational Toy - 45,High-quality Educational Toy for everyday use,https://picsum.photos/seed/toys878/400/300,483.49,Fashion World Wholesale,wholesale@fashionworld.com,Toys & Games,Entertainment for children and adults
197,Tablet - 35,High-quality Tablet for everyday use,https://picsum.photos/seed/electronics300/400/300,485.38,Fashion World Wholesale,wholesale@fashionworld.com,Electronics,Cutting-edge technological devices
210,Desk Lamp - 30,High-quality Desk Lamp for everyday use,https://picsum.photos/seed/furniture729/400/300,489.5,Fashion World Wholesale,wholesale@fashionworld.com,Furniture,Home and office furniture
